time,open,high,low,close,tick_volume,spread,symbol,timeframe,atr,rsi,vwap_dist,hour,dow,session,symbol_encoded,swing_high,swing_low,is_swing_high,is_swing_low,fvg_bullish,fvg_bearish,near_fvg_bull,near_fvg_bear,label
2025-12-15 02:15:00+00:00,4354.60009765625,4357.5,4354.0,4356.39990234375,870,0,XAUUSD,15m,5.792794363839286,83.62120978265445,1.9912883964038404,2,0,1,1,4361.5,4351.39990234375,0,0,,3.0,0,1,1
2025-12-15 02:30:00+00:00,4356.7001953125,4361.5,4356.39990234375,4360.89990234375,1454,0,XAUUSD,15m,5.821393694196429,85.49667639932906,2.5359147943854445,2,0,1,1,4361.7998046875,4353.5,0,0,,0.2998046875,0,1,-1
2025-12-15 02:45:00+00:00,4361.10009765625,4361.2001953125,4357.2001953125,4358.2998046875,820,0,XAUUSD,15m,5.799979073660714,78.93419258892055,1.9947864987558985,2,0,1,1,4361.7998046875,4351.7998046875,0,0,,6.7001953125,0,1,-1
2025-12-15 03:00:00+00:00,4358.2001953125,4361.7998046875,4354.7998046875,4355.2998046875,1350,0,XAUUSD,15m,5.985700334821429,72.16770096695049,1.3062716439926625,3,0,1,1,4361.7998046875,4351.7998046875,0,0,,9.400390625,0,1,1
2025-12-15 03:15:00+00:00,4355.2001953125,4356.7998046875,4351.7998046875,4356.60009765625,1374,0,XAUUSD,15m,5.957101004464286,79.48077313311688,1.4449682779030826,3,0,1,1,4361.7998046875,4351.7998046875,0,0,,5.2998046875,0,1,1
2025-12-15 03:30:00+00:00,4356.60009765625,4361.60009765625,4356.5,4360.5,772,0,XAUUSD,15m,5.878522600446429,80.6847892267469,2.056043931853308,3,0,1,1,4362.7998046875,4351.7998046875,0,0,1.0,,0,1,1
2025-12-15 03:45:00+00:00,4360.5,4360.5,4357.7998046875,4359.89990234375,539,0,XAUUSD,15m,5.835693359375,84.18325402954585,1.921520044259496,3,0,1,1,4363.10009765625,4351.7998046875,0,0,,3.39990234375,0,0,1
2025-12-15 04:00:00+00:00,4359.5,4362.7998046875,4358.2001953125,4360.7998046875,906,0,XAUUSD,15m,5.692836216517857,82.82499019382414,2.043910732553183,4,0,1,1,4363.10009765625,4356.2001953125,0,0,,0.7001953125,0,1,1
2025-12-15 04:15:00+00:00,4360.60009765625,4363.10009765625,4359.7998046875,4360.7001953125,697,0,XAUUSD,15m,5.6142578125,81.36141689058391,1.9906288803047858,4,0,1,1,4363.10009765625,4356.2001953125,0,0,,6.599609375,0,1,1
2025-12-15 04:30:00+00:00,4360.89990234375,4360.89990234375,4356.2001953125,4359.7001953125,1143,0,XAUUSD,15m,5.299979073660714,75.17064988125094,1.8369519525860891,4,0,1,1,4363.10009765625,4356.2001953125,0,0,,5.2001953125,0,1,1
