time,open,high,low,close,tick_volume,spread,symbol,timeframe
2025-06-17 16:00:00+00:00,1.14861,1.14901,1.14743,1.1484,6021,9.0,EURUSD,4h
2025-06-17 17:45:00+00:00,1.14904,1.14909,1.14779,1.1486,1774,9.0,EURUSD,15m
2025-06-17 18:00:00+00:00,1.14861,1.14901,1.14743,1.14794,3565,9.0,EURUSD,1h
2025-06-17 18:00:00+00:00,1.14861,1.14895,1.14817,1.14852,981,9.0,EURUSD,15m
2025-06-17 18:15:00+00:00,1.1485,1.14901,1.14783,1.14785,885,9.0,EURUSD,15m
2025-06-17 18:30:00+00:00,1.14783,1.14861,1.14775,1.14813,774,9.0,EURUSD,15m
2025-06-17 18:45:00+00:00,1.14814,1.14814,1.14743,1.14794,925,9.0,EURUSD,15m
2025-06-17 19:00:00+00:00,1.14792,1.14883,1.1476600000000001,1.1484,2456,9.0,EURUSD,1h
2025-06-17 19:00:00+00:00,1.14792,1.14812,1.14774,1.14794,677,9.0,EURUSD,15m
2025-06-17 19:15:00+00:00,1.14795,1.14846,1.1476600000000001,1.14836,549,9.0,EURUSD,15m
2025-06-17 19:30:00+00:00,1.14835,1.14867,1.14804,1.14857,546,9.0,EURUSD,15m
2025-06-17 19:45:00+00:00,1.14855,1.14883,1.14823,1.1484,684,9.0,EURUSD,15m
2025-06-17 20:00:00+00:00,1.14842,1.1485400000000001,1.14738,1.14817,4555,10.0,EURUSD,4h
2025-06-17 20:00:00+00:00,1.14842,1.1485400000000001,1.1474199999999999,1.14799,1749,9.0,EURUSD,1h
2025-06-17 20:00:00+00:00,1.14842,1.14849,1.14749,1.14754,402,9.0,EURUSD,15m
2025-06-17 20:15:00+00:00,1.14754,1.14846,1.1474199999999999,1.14835,447,9.0,EURUSD,15m
2025-06-17 20:30:00+00:00,1.14835,1.14837,1.14767,1.1477,330,9.0,EURUSD,15m
2025-06-17 20:45:00+00:00,1.14772,1.1485400000000001,1.14772,1.14799,570,9.0,EURUSD,15m
2025-06-17 21:00:00+00:00,1.14797,1.14802,1.14743,1.14761,130,18.0,EURUSD,15m
2025-06-17 21:00:00+00:00,1.14797,1.14818,1.14738,1.14818,713,13.0,EURUSD,1h
2025-06-17 21:15:00+00:00,1.14761,1.1477,1.14738,1.14767,226,127.0,EURUSD,15m
2025-06-17 21:30:00+00:00,1.14764,1.14775,1.14744,1.14773,195,94.0,EURUSD,15m
2025-06-17 21:45:00+00:00,1.14775,1.14818,1.1476899999999999,1.14818,162,13.0,EURUSD,15m
2025-06-17 22:00:00+00:00,1.14818,1.14836,1.14744,1.14748,874,9.0,EURUSD,1h
2025-06-17 22:00:00+00:00,1.14818,1.14833,1.14805,1.14823,194,9.0,EURUSD,15m
2025-06-17 22:15:00+00:00,1.14824,1.14836,1.14817,1.14835,151,9.0,EURUSD,15m
2025-06-17 22:30:00+00:00,1.14835,1.14835,1.14771,1.14792,231,9.0,EURUSD,15m
2025-06-17 22:45:00+00:00,1.14792,1.14801,1.14744,1.14748,298,9.0,EURUSD,15m
2025-06-17 23:00:00+00:00,1.14751,1.14825,1.14746,1.14817,1219,9.0,EURUSD,1h
2025-06-17 23:00:00+00:00,1.14751,1.14784,1.14751,1.14775,253,9.0,EURUSD,15m
2025-06-17 23:15:00+00:00,1.14775,1.14794,1.14759,1.14789,242,9.0,EURUSD,15m
2025-06-17 23:30:00+00:00,1.1479,1.1479,1.14746,1.14771,323,9.0,EURUSD,15m
2025-06-17 23:45:00+00:00,1.14773,1.14825,1.14771,1.14817,401,9.0,EURUSD,15m
2025-06-18 00:00:00+00:00,1.14815,1.14906,1.14805,1.14842,1019,9.0,EURUSD,15m
2025-06-18 00:00:00+00:00,1.14815,1.14963,1.1480299999999999,1.14918,3234,9.0,EURUSD,1h
2025-06-18 00:00:00+00:00,1.14815,1.15046,1.1480299999999999,1.14995,9205,9.0,EURUSD,4h
2025-06-18 00:15:00+00:00,1.14843,1.14882,1.1480299999999999,1.14863,685,9.0,EURUSD,15m
2025-06-18 00:30:00+00:00,1.14863,1.1494,1.14845,1.14935,704,9.0,EURUSD,15m
2025-06-18 00:45:00+00:00,1.14933,1.14963,1.14896,1.14918,826,9.0,EURUSD,15m
2025-06-18 01:00:00+00:00,1.14917,1.14965,1.1489,1.14936,726,9.0,EURUSD,15m
2025-06-18 01:00:00+00:00,1.14917,1.15004,1.1489,1.14966,2523,9.0,EURUSD,1h
2025-06-18 01:15:00+00:00,1.14939,1.14989,1.14911,1.1498599999999999,659,9.0,EURUSD,15m
2025-06-18 01:30:00+00:00,1.1498599999999999,1.15004,1.14939,1.14946,537,9.0,EURUSD,15m
2025-06-18 01:45:00+00:00,1.14946,1.14999,1.14927,1.14966,601,9.0,EURUSD,15m
2025-06-18 02:00:00+00:00,1.14964,1.1497600000000001,1.1494,1.1496,472,9.0,EURUSD,15m
2025-06-18 02:00:00+00:00,1.14964,1.15007,1.14928,1.14974,1840,9.0,EURUSD,1h
2025-06-18 02:15:00+00:00,1.14958,1.15007,1.14951,1.14984,482,9.0,EURUSD,15m
2025-06-18 02:30:00+00:00,1.14982,1.14982,1.14928,1.14972,452,9.0,EURUSD,15m
2025-06-18 02:45:00+00:00,1.14971,1.14989,1.14951,1.14974,434,9.0,EURUSD,15m
2025-06-18 03:00:00+00:00,1.14972,1.15046,1.14956,1.14995,1608,9.0,EURUSD,1h
2025-06-18 03:00:00+00:00,1.14972,1.14995,1.14956,1.14989,340,9.0,EURUSD,15m
2025-06-18 03:15:00+00:00,1.1499,1.15034,1.14975,1.15007,459,9.0,EURUSD,15m
2025-06-18 03:30:00+00:00,1.15007,1.15046,1.15005,1.15025,434,9.0,EURUSD,15m
2025-06-18 03:45:00+00:00,1.15025,1.15025,1.14982,1.14995,375,9.0,EURUSD,15m
2025-06-18 04:00:00+00:00,1.14995,1.15075,1.14961,1.15052,1551,9.0,EURUSD,1h
2025-06-18 04:00:00+00:00,1.14995,1.15231,1.14961,1.1513,9652,9.0,EURUSD,4h
2025-06-18 04:00:00+00:00,1.14995,1.14997,1.14961,1.14997,372,9.0,EURUSD,15m
2025-06-18 04:15:00+00:00,1.14997,1.15024,1.14989,1.15014,332,9.0,EURUSD,15m
2025-06-18 04:30:00+00:00,1.15014,1.15053,1.15012,1.15039,396,9.0,EURUSD,15m
2025-06-18 04:45:00+00:00,1.15039,1.15075,1.15025,1.15052,451,9.0,EURUSD,15m
2025-06-18 05:00:00+00:00,1.15054,1.15067,1.14999,1.15039,1659,9.0,EURUSD,1h
2025-06-18 05:00:00+00:00,1.15054,1.15059,1.15006,1.15008,404,9.0,EURUSD,15m
2025-06-18 05:15:00+00:00,1.15011,1.15033,1.15003,1.15033,368,9.0,EURUSD,15m
2025-06-18 05:30:00+00:00,1.15033,1.15067,1.15017,1.15057,435,9.0,EURUSD,15m
2025-06-18 05:45:00+00:00,1.15058,1.15066,1.14999,1.15039,452,9.0,EURUSD,15m
2025-06-18 06:00:00+00:00,1.1503700000000001,1.15079,1.15003,1.15076,813,9.0,EURUSD,15m
2025-06-18 06:00:00+00:00,1.1503700000000001,1.15147,1.15003,1.15101,3157,9.0,EURUSD,1h
2025-06-18 06:15:00+00:00,1.15075,1.15147,1.15052,1.15138,895,9.0,EURUSD,15m
2025-06-18 06:30:00+00:00,1.15137,1.15146,1.15069,1.15087,650,9.0,EURUSD,15m
2025-06-18 06:45:00+00:00,1.15085,1.15125,1.15055,1.15101,799,9.0,EURUSD,15m
