time,open,high,low,close,tick_volume,spread,symbol,timeframe
2026-02-20 20:00:00+00:00,67728.14,67810.53,67603.92,67798.25,2040,1800.0,BTCUSD,2h
2026-02-20 20:36:00+00:00,67567.53,67595.87,67550.92,67585.36,101,1800.0,BTCUSD,3m
2026-02-20 20:37:00+00:00,67567.53,67583.7,67550.92,67575.16,55,1800.0,BTCUSD,1m
2026-02-20 20:38:00+00:00,67576.53,67595.87,67564.66,67585.36,46,1800.0,BTCUSD,1m
2026-02-20 20:39:00+00:00,67584.13,67681.63,67584.13,67678.26,125,1800.0,BTCUSD,3m
2026-02-20 20:39:00+00:00,67584.13,67665.46,67584.13,67656.74,47,1800.0,BTCUSD,1m
2026-02-20 20:40:00+00:00,67658.55,67705.74,67649.17,67702.52,150,1800.0,BTCUSD,5m
2026-02-20 20:40:00+00:00,67658.55,67681.63,67650.2,67666.04,46,1800.0,BTCUSD,1m
2026-02-20 20:41:00+00:00,67669.47,67678.26,67653.59,67678.26,32,1800.0,BTCUSD,1m
2026-02-20 20:42:00+00:00,67679.83,67685.79,67656.82,67656.82,23,1800.0,BTCUSD,1m
2026-02-20 20:42:00+00:00,67679.83,67705.74,67649.17,67702.52,72,1800.0,BTCUSD,3m
2026-02-20 20:43:00+00:00,67658.54,67689.16,67649.17,67675.61,32,1800.0,BTCUSD,1m
2026-02-20 20:44:00+00:00,67675.03,67705.74,67675.03,67702.52,17,1800.0,BTCUSD,1m
2026-02-20 20:45:00+00:00,67702.64,67724.7,67702.64,67708.09,19,1800.0,BTCUSD,1m
2026-02-20 20:45:00+00:00,67702.64,67745.28,67673.2,67698.16,109,1800.0,BTCUSD,3m
2026-02-20 20:45:00+00:00,67702.64,67745.28,67663.45,67666.53,195,1800.0,BTCUSD,5m
2026-02-20 20:46:00+00:00,67706.79,67745.28,67692.11,67715.42,53,1800.0,BTCUSD,1m
2026-02-20 20:47:00+00:00,67713.91,67713.91,67673.2,67698.16,37,1800.0,BTCUSD,1m
2026-02-20 20:48:00+00:00,67698.07,67714.14,67683.35,67696.95,36,1800.0,BTCUSD,1m
2026-02-20 20:48:00+00:00,67698.07,67714.14,67643.24,67664.41,130,1800.0,BTCUSD,3m
2026-02-20 20:49:00+00:00,67696.47,67696.47,67663.45,67666.53,50,1800.0,BTCUSD,1m
2026-02-20 20:50:00+00:00,67664.92,67699.71,67606.46,67647.58,231,1800.0,BTCUSD,5m
2026-02-20 20:50:00+00:00,67664.92,67693.37,67643.24,67664.41,44,1800.0,BTCUSD,1m
2026-02-20 20:51:00+00:00,67664.18,67682.34,67606.46,67682.34,135,1800.0,BTCUSD,3m
2026-02-20 20:51:00+00:00,67664.18,67664.29,67606.46,67654.1,65,1800.0,BTCUSD,1m
2026-02-20 20:52:00+00:00,67648.99,67667.96,67645.59,67664.52,32,1800.0,BTCUSD,1m
2026-02-20 20:53:00+00:00,67655.44,67682.34,67650.07,67682.34,38,1800.0,BTCUSD,1m
2026-02-20 20:54:00+00:00,67678.31,67699.71,67647.58,67647.58,52,1800.0,BTCUSD,1m
2026-02-20 20:54:00+00:00,67678.31,67727.04,67647.58,67714.6,138,1800.0,BTCUSD,3m
2026-02-20 20:55:00+00:00,67661.34,67734.42,67661.34,67734.42,247,1800.0,BTCUSD,5m
2026-02-20 20:55:00+00:00,67661.34,67727.04,67661.34,67709.04,47,1800.0,BTCUSD,1m
2026-02-20 20:56:00+00:00,67708.95,67725.13,67698.94,67714.6,39,1800.0,BTCUSD,1m
2026-02-20 20:57:00+00:00,67713.92,67713.92,67672.54,67682.34,39,1800.0,BTCUSD,1m
2026-02-20 20:57:00+00:00,67713.92,67734.42,67672.54,67734.42,161,1800.0,BTCUSD,3m
2026-02-20 20:58:00+00:00,67684.6,67710.74,67674.96,67685.55,43,1800.0,BTCUSD,1m
2026-02-20 20:59:00+00:00,67681.96,67734.42,67676.81,67734.42,79,1800.0,BTCUSD,1m
2026-02-20 21:00:00+00:00,67728.14,67778.78,67631.49,67640.51,294,1800.0,BTCUSD,5m
2026-02-20 21:00:00+00:00,67728.14,67810.53,67603.92,67798.25,2040,1800.0,BTCUSD,1h
2026-02-20 21:00:00+00:00,67728.14,67733.46,67658.87,67668.43,56,1800.0,BTCUSD,1m
2026-02-20 21:00:00+00:00,67728.14,67778.78,67658.87,67703.9,174,1800.0,BTCUSD,3m
2026-02-20 21:01:00+00:00,67673.82,67775.45,67661.41,67762.4,58,1800.0,BTCUSD,1m
2026-02-20 21:02:00+00:00,67765.11,67778.78,67693.77,67703.9,60,1800.0,BTCUSD,1m
2026-02-20 21:03:00+00:00,67712.31,67759.03,67603.92,67615.22,155,1800.0,BTCUSD,3m
2026-02-20 21:03:00+00:00,67712.31,67759.03,67687.42,67722.3,57,1800.0,BTCUSD,1m
2026-02-20 21:04:00+00:00,67723.29,67728.86,67631.49,67640.51,63,1800.0,BTCUSD,1m
2026-02-20 21:05:00+00:00,67640.62,67775.78,67603.92,67735.57,193,1800.0,BTCUSD,5m
2026-02-20 21:05:00+00:00,67640.62,67648.26,67603.92,67615.22,35,1800.0,BTCUSD,1m
2026-02-20 21:06:00+00:00,67615.14,67646.15,67605.58,67646.15,38,1800.0,BTCUSD,1m
2026-02-20 21:06:00+00:00,67615.14,67775.78,67605.58,67747.54,127,1800.0,BTCUSD,3m
2026-02-20 21:07:00+00:00,67646.07,67697.37,67646.07,67678.71,46,1800.0,BTCUSD,1m
2026-02-20 21:08:00+00:00,67680.09,67775.78,67671.1,67747.54,43,1800.0,BTCUSD,1m
2026-02-20 21:09:00+00:00,67747.63,67753.42,67735.13,67735.57,31,1800.0,BTCUSD,1m
2026-02-20 21:09:00+00:00,67747.63,67760.11,67715.25,67721.02,99,1800.0,BTCUSD,3m
2026-02-20 21:10:00+00:00,67735.68,67760.11,67660.93,67698.26,180,1800.0,BTCUSD,5m
2026-02-20 21:10:00+00:00,67735.68,67760.11,67725.12,67727.8,41,1800.0,BTCUSD,1m
2026-02-20 21:11:00+00:00,67727.03,67739.33,67715.25,67721.02,27,1800.0,BTCUSD,1m
2026-02-20 21:12:00+00:00,67718.77,67725.41,67660.93,67698.26,112,1800.0,BTCUSD,3m
2026-02-20 21:12:00+00:00,67718.77,67725.41,67674.51,67674.51,31,1800.0,BTCUSD,1m
2026-02-20 21:13:00+00:00,67676.68,67705.1,67660.93,67683.1,46,1800.0,BTCUSD,1m
2026-02-20 21:14:00+00:00,67683.03,67698.26,67661.18,67698.26,35,1800.0,BTCUSD,1m
2026-02-20 21:15:00+00:00,67698.73,67698.73,67638.33,67642.47,69,1800.0,BTCUSD,3m
2026-02-20 21:15:00+00:00,67698.73,67715.39,67638.33,67715.39,137,1800.0,BTCUSD,5m
2026-02-20 21:15:00+00:00,67698.73,67698.73,67655.89,67658.69,29,1800.0,BTCUSD,1m
2026-02-20 21:16:00+00:00,67658.76,67658.76,67643.19,67650.54,23,1800.0,BTCUSD,1m
2026-02-20 21:17:00+00:00,67649.29,67657.87,67638.33,67642.47,17,1800.0,BTCUSD,1m
2026-02-20 21:18:00+00:00,67642.72,67675.75,67642.61,67657.58,34,1800.0,BTCUSD,1m
2026-02-20 21:18:00+00:00,67642.72,67715.39,67642.61,67685.75,93,1800.0,BTCUSD,3m
2026-02-20 21:19:00+00:00,67659.59,67715.39,67648.17,67715.39,34,1800.0,BTCUSD,1m
2026-02-20 21:20:00+00:00,67711.16,67711.16,67672.96,67685.75,25,1800.0,BTCUSD,1m
2026-02-20 21:20:00+00:00,67711.16,67711.16,67658.01,67677.87,167,1800.0,BTCUSD,5m
2026-02-20 21:21:00+00:00,67685.56,67685.56,67661.39,67679.12,27,1800.0,BTCUSD,1m
2026-02-20 21:21:00+00:00,67685.56,67694.07,67658.01,67675.54,98,1800.0,BTCUSD,3m
2026-02-20 21:22:00+00:00,67679.92,67691.22,67666.54,67681.31,40,1800.0,BTCUSD,1m
2026-02-20 21:23:00+00:00,67681.41,67694.07,67658.01,67675.54,31,1800.0,BTCUSD,1m
2026-02-20 21:24:00+00:00,67676.26,67717.3,67671.38,67708.19,97,1800.0,BTCUSD,3m
2026-02-20 21:24:00+00:00,67676.26,67700.29,67671.38,67677.87,44,1800.0,BTCUSD,1m
2026-02-20 21:25:00+00:00,67682.28,67709.09,67682.28,67699.72,26,1800.0,BTCUSD,1m
2026-02-20 21:25:00+00:00,67682.28,67722.82,67682.28,67716.85,146,1800.0,BTCUSD,5m
2026-02-20 21:26:00+00:00,67701.44,67717.3,67697.62,67708.19,27,1800.0,BTCUSD,1m
2026-02-20 21:27:00+00:00,67708.06,67722.82,67686.75,67716.85,93,1800.0,BTCUSD,3m
2026-02-20 21:27:00+00:00,67708.06,67722.82,67701.18,67712.49,32,1800.0,BTCUSD,1m
2026-02-20 21:28:00+00:00,67714.6,67717.59,67688.7,67688.7,32,1800.0,BTCUSD,1m
2026-02-20 21:29:00+00:00,67688.99,67716.85,67686.75,67716.85,29,1800.0,BTCUSD,1m
2026-02-20 21:30:00+00:00,67716.71,67716.71,67693.87,67707.83,31,1800.0,BTCUSD,1m
2026-02-20 21:30:00+00:00,67716.71,67716.71,67670.49,67709.05,94,1800.0,BTCUSD,3m
2026-02-20 21:30:00+00:00,67716.71,67735.62,67670.49,67704.59,160,1800.0,BTCUSD,5m
2026-02-20 21:31:00+00:00,67707.08,67707.08,67670.49,67678.82,34,1800.0,BTCUSD,1m
2026-02-20 21:32:00+00:00,67684.84,67709.05,67684.84,67709.05,29,1800.0,BTCUSD,1m
2026-02-20 21:33:00+00:00,67707.72,67719.45,67691.43,67719.45,22,1800.0,BTCUSD,1m
2026-02-20 21:33:00+00:00,67707.72,67735.62,67691.43,67718.75,90,1800.0,BTCUSD,3m
2026-02-20 21:34:00+00:00,67720.79,67735.62,67701.23,67704.59,44,1800.0,BTCUSD,1m
2026-02-20 21:35:00+00:00,67701.29,67797.69,67701.29,67762.64,168,1800.0,BTCUSD,5m
2026-02-20 21:35:00+00:00,67701.29,67726.44,67701.29,67718.75,24,1800.0,BTCUSD,1m
2026-02-20 21:36:00+00:00,67724.69,67788.82,67719.66,67773.63,99,1800.0,BTCUSD,3m
2026-02-20 21:36:00+00:00,67724.69,67735.49,67719.66,67733.82,24,1800.0,BTCUSD,1m
2026-02-20 21:37:00+00:00,67735.11,67752.47,67724.46,67747.67,44,1800.0,BTCUSD,1m
2026-02-20 21:38:00+00:00,67747.75,67788.82,67747.75,67773.63,31,1800.0,BTCUSD,1m
2026-02-20 21:39:00+00:00,67772.97,67797.69,67759.24,67784.58,104,1800.0,BTCUSD,3m
2026-02-20 21:39:00+00:00,67772.97,67797.69,67762.64,67762.64,45,1800.0,BTCUSD,1m
2026-02-20 21:40:00+00:00,67759.24,67810.53,67727.52,67727.87,176,1800.0,BTCUSD,5m
2026-02-20 21:40:00+00:00,67759.24,67787.84,67759.24,67777.21,27,1800.0,BTCUSD,1m
2026-02-20 21:41:00+00:00,67775.08,67795.37,67766.54,67784.58,32,1800.0,BTCUSD,1m
2026-02-20 21:42:00+00:00,67782.45,67810.53,67773.18,67789.82,50,1800.0,BTCUSD,1m
2026-02-20 21:42:00+00:00,67782.45,67810.53,67727.52,67727.87,117,1800.0,BTCUSD,3m
2026-02-20 21:43:00+00:00,67792.89,67794.01,67756.15,67775.83,35,1800.0,BTCUSD,1m
2026-02-20 21:44:00+00:00,67774.04,67775.67,67727.52,67727.87,32,1800.0,BTCUSD,1m
2026-02-20 21:45:00+00:00,67728.59,67747.44,67683.38,67735.18,98,1800.0,BTCUSD,3m
2026-02-20 21:45:00+00:00,67728.59,67736.58,67683.38,67708.07,55,1800.0,BTCUSD,1m
2026-02-20 21:45:00+00:00,67728.59,67778.52,67683.38,67774.76,146,1800.0,BTCUSD,5m
2026-02-20 21:46:00+00:00,67710.74,67733.43,67710.74,67729.53,17,1800.0,BTCUSD,1m
2026-02-20 21:47:00+00:00,67731.59,67747.44,67730.98,67735.18,26,1800.0,BTCUSD,1m
2026-02-20 21:48:00+00:00,67734.73,67780.37,67734.73,67760.24,77,1800.0,BTCUSD,3m
2026-02-20 21:48:00+00:00,67734.73,67767.34,67734.73,67765.65,29,1800.0,BTCUSD,1m
