time,open,high,low,close,tick_volume,spread,symbol,timeframe
2024-09-27 15:30:00+00:00,0.84233,0.84299,0.84214,0.8429,581,12.0,USDCHF,15m
2024-09-27 15:45:00+00:00,0.8429,0.84294,0.84233,0.84233,660,12.0,USDCHF,15m
2024-09-27 16:00:00+00:00,0.84233,0.84233,0.84151,0.84196,745,12.0,USDCHF,15m
2024-09-27 16:00:00+00:00,0.84116,0.84122,0.84025,0.84058,2611,12.0,USDCHF,4h
2024-09-27 16:15:00+00:00,0.84198,0.84262,0.8419,0.84259,750,12.0,USDCHF,15m
2024-09-27 16:30:00+00:00,0.84257,0.84297,0.84218,0.84226,721,12.0,USDCHF,15m
2024-09-27 16:45:00+00:00,0.84227,0.84231,0.84186,0.84213,521,12.0,USDCHF,15m
2024-09-27 17:00:00+00:00,0.84213,0.84248,0.84151,0.84155,479,12.0,USDCHF,15m
2024-09-27 17:15:00+00:00,0.84155,0.8416,0.84096,0.84146,491,12.0,USDCHF,15m
2024-09-27 17:30:00+00:00,0.84145,0.84146,0.84104,0.8412,423,12.0,USDCHF,15m
2024-09-27 17:45:00+00:00,0.8412,0.84143,0.84112,0.84116,403,12.0,USDCHF,15m
2024-09-27 18:00:00+00:00,0.84116,0.84122,0.84038,0.8405,1397,12.0,USDCHF,1h
2024-09-27 18:00:00+00:00,0.84116,0.84122,0.84092,0.84105,313,12.0,USDCHF,15m
2024-09-27 18:15:00+00:00,0.84105,0.84112,0.84051,0.84051,392,12.0,USDCHF,15m
2024-09-27 18:30:00+00:00,0.84051,0.84075,0.84038,0.84049,337,12.0,USDCHF,15m
2024-09-27 18:45:00+00:00,0.84049,0.84088,0.8404,0.8405,355,12.0,USDCHF,15m
2024-09-27 19:00:00+00:00,0.8405,0.84083,0.84025,0.84058,1214,12.0,USDCHF,1h
2024-09-27 19:00:00+00:00,0.8405,0.84075,0.84036,0.84036,305,12.0,USDCHF,15m
2024-09-27 19:15:00+00:00,0.84036,0.84053,0.84025,0.84044,289,12.0,USDCHF,15m
2024-09-27 19:30:00+00:00,0.84043,0.84062,0.84034,0.84062,294,12.0,USDCHF,15m
2024-09-27 19:45:00+00:00,0.84062,0.84083,0.84048,0.84058,326,12.0,USDCHF,15m
2024-09-27 20:00:00+00:00,0.8406,0.8408,0.84011,0.8404,1198,12.0,USDCHF,4h
2024-09-27 20:00:00+00:00,0.8406,0.8408,0.84011,0.8404,1198,12.0,USDCHF,1h
