time,open,high,low,close,tick_volume,spread,symbol,timeframe,atr,rsi,vwap_dist,hour,dow,session,symbol_encoded,timeframe_encoded,swing_high,swing_low,is_swing_high,is_swing_low,fvg_bullish,fvg_bearish,near_fvg_bull,near_fvg_bear,label
2025-12-15 01:00:00+00:00,4339.7001953125,4346.7998046875,4337.7001953125,4344.89990234375,2306,0.0,XAUUSD,15m,10.792794363839286,55.93954989348464,-0.045750850448095626,1,0,1,1,0,4357.7998046875,4335.2998046875,0,0,,16.2998046875,0,1,1
2025-12-15 01:15:00+00:00,4344.7998046875,4347.60009765625,4341.5,4346.89990234375,1311,0.0,XAUUSD,15m,10.749965122767858,56.8710643129968,0.14028061052564272,1,0,1,1,0,4357.7998046875,4337.7001953125,0,0,,0.599609375,0,1,1
2025-12-15 01:30:00+00:00,4346.7998046875,4357.0,4346.2001953125,4351.7001953125,2519,0.0,XAUUSD,15m,11.185686383928571,59.49248493020304,0.5338567886111617,1,0,1,1,0,4361.5,4337.7001953125,0,0,3.7998046875,,0,1,1
2025-12-15 01:45:00+00:00,4351.7001953125,4357.7998046875,4351.39990234375,4354.60009765625,1390,0.0,XAUUSD,15m,11.164271763392858,60.29860463308457,0.7716563480056994,1,0,1,1,0,4361.5,4341.5,0,0,,3.5,0,0,1
2025-12-15 02:00:00+00:00,4354.10009765625,4361.5,4353.5,4358.2998046875,4462,0.0,XAUUSD,1h,11.457135881696429,61.11105823228189,0.987520412261777,2,0,1,1,1,4361.5,4346.2001953125,0,0,,4.2998046875,0,1,0
2025-12-15 02:00:00+00:00,4354.10009765625,4359.39990234375,4353.5,4354.7001953125,1318,0.0,XAUUSD,15m,11.564278738839286,58.333567185819184,0.6483080753190406,2,0,1,1,0,4361.5,4351.39990234375,0,0,,7.5,0,1,1
2025-12-15 02:15:00+00:00,4354.60009765625,4357.5,4354.0,4356.39990234375,870,0.0,XAUUSD,15m,11.428536551339286,60.9543189684683,0.7925433656874789,2,0,1,1,0,4361.5,4353.5,0,0,,3.0,0,1,1
2025-12-15 02:30:00+00:00,4356.7001953125,4361.5,4356.39990234375,4360.89990234375,1454,0.0,XAUUSD,15m,11.349958147321429,62.06253002697809,1.1665581793669655,2,0,1,1,0,4361.7998046875,4351.7998046875,0,0,,0.2998046875,0,1,0
2025-12-15 02:45:00+00:00,4361.10009765625,4361.2001953125,4357.2001953125,4358.2998046875,820,0.0,XAUUSD,15m,9.492815290178571,49.045280006526006,1.1038444232442008,2,0,1,1,0,4361.7998046875,4351.7998046875,0,0,,9.7001953125,0,1,1
2025-12-15 03:00:00+00:00,4358.2001953125,4361.7998046875,4351.7998046875,4359.89990234375,4035,0.0,XAUUSD,1h,8.199951171875,65.69235045335377,1.3923052217664162,3,0,1,1,1,4361.7998046875,4351.7998046875,0,1,,6.400390625,0,1,1
