time,open,high,low,close,tick_volume,spread,symbol,timeframe,atr,atr_pct,bb_width,volatility_regime,rsi,vwap_dist,hour,dow,session,symbol_encoded,timeframe_encoded,swing_high,swing_low,is_swing_high,is_swing_low,fvg_bullish,fvg_bearish,near_fvg_bull,near_fvg_bear,ob_zone_strength,dist_to_demand,dist_to_supply,in_demand_zone,in_supply_zone,is_liquidity_sweep_bull,is_liquidity_sweep_bear,near_liquidity_sweep_bull,near_liquidity_sweep_bear,is_news_window,label
2025-12-15 07:15:00+00:00,63.51499938964844,63.560001373291016,63.40999984741211,63.459999084472656,486,0.0,XAGUSD,15m,0.3685722351074188,0.0058079457993185,,0,51.18643059607307,0.43657103770809735,7,0,1,0,0,63.560001373291016,63.21500015258789,0,0,,0.3250007629394531,0,1,0.0,0.6647243295832138,0.27132344569908834,0,1,0,0,0,0,0,0
2025-12-15 07:30:00+00:00,63.43999862670898,63.5,63.21500015258789,63.45500183105469,1222,0.0,XAGUSD,15m,0.3332148960658457,0.005251199849509284,,0,51.099868583777194,0.45464431081019147,7,0,1,0,0,63.970001220703125,63.21500015258789,0,0,,0.24500274658203836,0,1,0.0,0.7202609526177088,1.5455473201494265,0,0,0,0,0,0,0,0
2025-12-15 07:45:00+00:00,63.45500183105469,63.45500183105469,63.31499862670898,63.38999938964844,594,0.0,XAGUSD,15m,0.2996436527797139,0.004726986207049018,,0,61.632588874218385,0.2822464485260103,7,0,1,0,0,64.0199966430664,63.21500015258789,0,0,,0.15000152587891336,0,1,0.0,0.5840245085691815,2.102488230849054,0,0,0,0,0,0,0,1
2025-12-15 08:00:00+00:00,63.375,63.970001220703125,63.34999847412109,63.8849983215332,4737,0.0,XAGUSD,1h,0.3032152993338449,0.004746267626207991,,0,62.02010144742135,1.6912794234856348,8,0,2,0,1,64.0199966430664,63.21500015258789,0,0,,0.10500335693360086,0,1,0.0,2.209644996203288,0.4452226580577909,0,1,0,0,0,0,0,-1
2025-12-15 08:00:00+00:00,63.375,64.0199966430664,63.34999847412109,63.83000183105469,14507,0.0,XAGUSD,4h,0.315714972359794,0.004946184604465918,,0,72.23533677882156,1.0812791047672676,8,0,2,0,2,64.0199966430664,63.31499862670898,0,0,,0.6200027465820384,0,1,0.0,1.6312283212175445,0.6017922133740224,0,0,0,0,0,0,0,-1
2025-12-15 08:00:00+00:00,63.375,63.525001525878906,63.34999847412109,63.4900016784668,830,0.0,XAGUSD,15m,0.3278582436697834,0.005163935029174514,,0,59.38864919791442,0.006054213318559867,8,0,2,0,0,64.0199966430664,63.34999847412109,0,0,,0.579998016357429,0,1,0.0,0.427023590374383,1.6165369480031033,1,0,0,0,0,0,0,0
2025-12-15 08:15:00+00:00,63.4900016784668,63.709999084472656,63.43999862670898,63.66999816894531,1552,0.0,XAGUSD,15m,0.3242868695940316,0.005093244525208746,0.01655870678741761,0,58.48208963865927,0.5491878804573618,8,0,2,0,0,64.0199966430664,63.34999847412109,0,0,0.09499740600585938,,0,1,0.0,0.9867796843727508,1.0792866037383815,0,0,0,0,0,0,0,0
2025-12-15 08:30:00+00:00,63.65999984741211,63.79499816894531,63.619998931884766,63.744998931884766,816,0.0,XAGUSD,15m,0.3032152993338474,0.004756691574469247,0.017270894187974926,0,55.71423900367301,0.8219666246012892,8,0,2,0,0,64.0199966430664,63.34999847412109,0,0,0.030002593994140625,,0,0,0.0,1.3027062243609744,0.9069387718423189,0,0,0,0,0,0,0,0
2025-12-15 08:45:00+00:00,63.7400016784668,63.970001220703125,63.7400016784668,63.8849983215332,1539,0.0,XAGUSD,15m,0.28857231140136974,0.004517059074635727,0.016148515912958575,0,67.3522022323381,1.309222208678966,8,0,2,0,0,64.0199966430664,63.43999862670898,0,0,,0.25,0,0,0.0,1.5420734326977208,0.46781453451865146,0,1,0,0,0,0,0,-1
2025-12-15 09:00:00+00:00,63.869998931884766,64.0199966430664,63.54499816894531,63.59000015258789,5843,0.0,XAGUSD,1h,0.3067864009312246,0.004824444098051154,0.016111368004808918,0,55.28850562486016,0.19755565592887964,9,0,2,0,1,64.0199966430664,63.54499816894531,0,0,,0.1399993896484375,0,1,0.0,0.14668832616432262,1.4016152253597194,1,0,0,0,0,0,0,0
2025-12-15 09:00:00+00:00,63.869998931884766,64.0199966430664,63.83000183105469,63.97999954223633,1620,0.0,XAGUSD,15m,0.32785769871303266,0.005124377947152027,0.014975456519492392,0,61.885249105340755,1.3386346187289806,9,0,2,0,0,64.0199966430664,63.54499816894531,0,0,,0.3699951171875,0,1,0.0,1.326799324824651,0.12199530768099118,0,1,0,0,0,0,0,-1
2025-12-15 09:15:00+00:00,63.970001220703125,63.9900016784668,63.650001525878906,63.80500030517578,2257,0.0,XAGUSD,15m,0.3403576442173574,0.00533434123641479,0.013759383534966597,0,55.97610258078145,0.7447588362313029,9,0,2,0,0,64.0199966430664,63.54499816894531,0,0,,0.3599967956542969,0,1,0.0,0.7639086139179749,0.6316777117934368,0,0,0,0,0,0,0,-1
2025-12-15 09:30:00+00:00,63.80500030517578,63.869998931884766,63.65999984741211,63.70000076293945,1155,0.0,XAGUSD,15m,0.3307146344866097,0.005191752441532448,0.013254927337839393,0,56.20005584742362,0.43792782161229876,9,0,2,0,0,64.0199966430664,63.45500183105469,0,0,,0.4450035095214844,0,1,0.0,0.7408167233515195,0.9675891138706456,0,0,0,0,0,0,0,-1
2025-12-15 09:45:00+00:00,63.709999084472656,63.72499847412109,63.54499816894531,63.59000015258789,811,0.0,XAGUSD,15m,0.3325001852852978,0.005228812462453913,0.013219571126082614,0,51.50907625590053,0.10217278138843121,9,0,2,0,0,63.9900016784668,63.45500183105469,0,0,,0.4149971008300781,0,1,0.0,0.40600976332500216,1.2030114375295453,1,0,0,0,0,0,0,-1
2025-12-15 10:00:00+00:00,63.595001220703125,63.80500030517578,63.45500183105469,63.68000030517578,2457,0.0,XAGUSD,1h,0.3467856815883112,0.005445755023969828,0.011959544790588653,0,54.365122615803806,0.34743628673743315,10,0,2,0,1,63.869998931884766,63.45500183105469,0,0,,0.18000030517577414,0,1,0.0,0.6488113150767341,0.5478848660612881,0,0,0,0,0,0,0,-1
2025-12-15 10:00:00+00:00,63.595001220703125,63.685001373291016,63.54499816894531,63.67499923706055,622,0.0,XAGUSD,15m,0.3364287785121393,0.005283530153799025,0.011408156601868405,0,54.36504031934557,0.3411029793910226,10,0,2,0,0,63.80500030517578,63.45500183105469,0,0,,0.18000030517578125,0,1,0.0,0.6539197002670247,0.38641482660956,0,1,0,0,0,0,0,-1
2025-12-15 10:15:00+00:00,63.68000030517578,63.80500030517578,63.625,63.71500015258789,560,0.0,XAGUSD,15m,0.3392857142857158,0.005325052396973669,0.010918686588543449,0,56.513064045856034,0.45220171898422606,10,0,2,0,0,63.80500030517578,63.45500183105469,0,0,,0.22999954223632812,0,1,0.0,0.7663108424136479,0.2652636076274659,0,1,0,0,0,0,0,-1
2025-12-15 10:30:00+00:00,63.70500183105469,63.71500015258789,63.45500183105469,63.61000061035156,866,0.0,XAGUSD,15m,0.3135711124965133,0.00492958826423096,0.010749536907240554,0,43.46796276261256,0.15310342221895798,10,0,2,0,0,63.834999084472656,63.45500183105469,0,0,,0.20999908447265625,0,1,0.0,0.494301844525294,0.7175357204614808,1,0,0,0,0,0,0,-1
2025-12-15 10:45:00+00:00,63.60499954223633,63.7400016784668,63.595001220703125,63.68000030517578,409,0.0,XAGUSD,15m,0.2760712759835385,0.004335290117156296,0.010010637872572722,0,46.462220014970924,0.4250069754019106,10,0,2,0,0,63.834999084472656,63.45500183105469,0,0,,0.17499923706054688,0,1,0.0,0.8150013916497054,0.5614447890120855,0,0,0,0,0,0,0,-1
2025-12-15 11:00:00+00:00,63.66999816894531,63.834999084472656,63.540000915527344,63.83000183105469,1470,0.0,XAGUSD,1h,0.2628566196986607,0.004118073196901825,0.009968356637899215,0,58.808310125568994,1.0028177184920202,11,0,2,0,1,63.834999084472656,63.45500183105469,0,0,,0.20000076293945312,0,1,0.0,1.4266332741777654,0.019011328014860763,0,1,0,0,0,0,0,-1
