time,open,high,low,close,tick_volume,spread,symbol,timeframe
2025-06-04 11:45:00+00:00,34.313,34.396,34.307,34.356,314,29.0,XAGUSD,15m
2025-06-04 12:00:00+00:00,34.349,34.389,34.323,34.381,376,29.0,XAGUSD,15m
2025-06-04 12:15:00+00:00,34.382,34.404,34.239,34.279,648,29.0,XAGUSD,15m
2025-06-04 12:30:00+00:00,34.277,34.321,34.217,34.245,617,29.0,XAGUSD,15m
2025-06-04 12:45:00+00:00,34.242,34.333,34.233,34.328,514,29.0,XAGUSD,15m
2025-06-04 13:00:00+00:00,34.331,34.448,34.318,34.382,533,29.0,XAGUSD,15m
2025-06-04 13:15:00+00:00,34.382,34.446,34.363,34.428,435,29.0,XAGUSD,15m
2025-06-04 13:30:00+00:00,34.433,34.472,34.382,34.416,557,29.0,XAGUSD,15m
2025-06-04 13:45:00+00:00,34.418,34.444,34.391,34.41,460,29.0,XAGUSD,15m
2025-06-04 14:00:00+00:00,34.411,34.507,34.36,34.503,666,29.0,XAGUSD,15m
2025-06-04 14:15:00+00:00,34.503,34.555,34.438,34.488,527,29.0,XAGUSD,15m
2025-06-04 14:30:00+00:00,34.481,34.548,34.467,34.53,498,29.0,XAGUSD,15m
2025-06-04 14:45:00+00:00,34.527,34.532,34.452,34.487,421,29.0,XAGUSD,15m
2025-06-04 15:00:00+00:00,34.487,34.503,34.384,34.385,395,29.0,XAGUSD,15m
2025-06-04 15:15:00+00:00,34.384,34.407,34.343,34.398,486,29.0,XAGUSD,15m
2025-06-04 15:30:00+00:00,34.398,34.409,34.363,34.383,373,29.0,XAGUSD,15m
2025-06-04 15:45:00+00:00,34.382,34.421,34.37,34.403,289,29.0,XAGUSD,15m
2025-06-04 16:00:00+00:00,34.41,34.452,34.393,34.395,308,29.0,XAGUSD,15m
2025-06-04 16:00:00+00:00,34.472,34.54,34.437,34.467,1286,29.0,XAGUSD,4h
2025-06-04 16:15:00+00:00,34.397,34.417,34.384,34.405,292,29.0,XAGUSD,15m
2025-06-04 16:30:00+00:00,34.409,34.443,34.405,34.415,244,29.0,XAGUSD,15m
2025-06-04 16:45:00+00:00,34.415,34.445,34.413,34.436,238,29.0,XAGUSD,15m
2025-06-04 17:00:00+00:00,34.436,34.467,34.407,34.467,173,29.0,XAGUSD,15m
