time,open,high,low,close,tick_volume,spread,symbol,timeframe,atr,atr_pct,bb_width,volatility_regime,rsi,vwap_dist,hour,dow,session,symbol_encoded,timeframe_encoded,swing_high,swing_low,is_swing_high,is_swing_low,fvg_bullish,fvg_bearish,near_fvg_bull,near_fvg_bear,ob_zone_strength,dist_to_demand,dist_to_supply,in_demand_zone,in_supply_zone,is_liquidity_sweep_bull,is_liquidity_sweep_bear,near_liquidity_sweep_bull,near_liquidity_sweep_bear,is_news_window,label
2025-12-29 02:15:00+00:00,89236.6171875,89236.6171875,88812.46875,88934.8203125,1201076224,0.0,BTCUSD,15m,668.2287946428571,0.007513691401127573,,0,58.69164701062517,0.030982831250929977,2,0,1,0,0,89236.6171875,88353.5078125,0,0,,194.390625,0,1,0.0,0.8699303362266654,0.45163704021659073,0,1,0,0,0,0,0,0
2025-12-29 02:30:00+00:00,89146.9921875,89146.9921875,88950.4609375,88988.9609375,545806336,0.0,BTCUSD,15m,676.7271205357143,0.0076046187460375335,,0,59.035737638709925,0.10537420479437017,2,0,1,0,0,90032.4140625,88353.5078125,0,0,,230.7265625,0,1,0.0,0.9390093964269663,1.5419111977867477,0,0,0,0,0,0,0,0
2025-12-29 02:45:00+00:00,89005.890625,89195.6171875,89005.890625,89102.625,567508992,0.0,BTCUSD,15m,528.9135044642857,0.005936003619021165,,0,39.42281542784926,0.33893801668074464,2,0,1,0,0,90032.4140625,88812.46875,0,0,,120.359375,0,1,0.0,0.5485892259338077,1.7579227126025916,0,0,0,0,0,0,0,1
2025-12-29 03:00:00+00:00,89086.8125,90032.4140625,89026.6328125,90032.4140625,3074658304,0.0,BTCUSD,1h,438.1802455357143,0.0048669165444295654,,0,75.65246345605291,2.276759253327431,3,0,1,0,1,90032.4140625,88950.4609375,0,0,,168.984375,0,1,0.0,2.4691964916793916,0.0,0,1,0,0,0,0,0,-1
2025-12-29 03:00:00+00:00,89086.8125,89367.078125,89026.6328125,89367.078125,535558144,0.0,BTCUSD,15m,476.42075892857144,0.005331054443362126,,0,69.20237251585365,0.6862439775791568,3,0,1,0,0,90032.4140625,89005.890625,0,0,,753.078125,0,1,0.0,0.7581271244609052,1.3965301155144503,0,0,0,0,0,0,0,0
2025-12-29 03:15:00+00:00,89369.609375,89402.75,89279.3359375,89402.75,435003392,0.0,BTCUSD,15m,467.1752232142857,0.005225512897693703,,0,67.35991254083508,0.76277173058594,3,0,1,0,0,90032.4140625,89026.6328125,0,0,27.5625,,0,1,0.0,0.8050880457919343,1.3478113376127896,0,0,0,0,0,0,0,0
2025-12-29 03:30:00+00:00,89394.640625,89822.109375,89394.640625,89762.171875,1413939200,0.0,BTCUSD,15m,486.6841517857143,0.005421929323005413,0.032197430267402245,0,69.6581111088883,1.3956486304266824,3,0,1,0,0,90269.015625,89026.6328125,0,0,374.6640625,,0,0,0.0,1.5113273358115344,1.0414223437116603,0,0,0,0,0,0,0,0
2025-12-29 03:45:00+00:00,89884.796875,90032.4140625,89777.4140625,90032.4140625,1718781952,0.0,BTCUSD,15m,466.94419642857144,0.005186400934494785,0.032938455894670635,0,71.01524055229086,1.90838748571756,3,0,1,0,0,90269.015625,89279.3359375,0,0,80.9609375,,0,0,0.0,1.6127797084960633,0.5067020091686545,0,0,0,0,0,0,0,-1
2025-12-29 04:00:00+00:00,90012.6328125,90269.015625,89903.0703125,90100.4140625,2378932224,0.0,BTCUSD,1h,468.95703125,0.005204826594078673,0.03317064231676646,0,77.40855402289024,1.8721447297699318,4,0,1,0,1,90269.015625,89394.640625,0,0,,616.4375,0,0,0.0,1.5049852981599794,0.35952454332669737,0,1,0,0,0,0,0,-1
2025-12-29 04:00:00+00:00,90012.6328125,90269.015625,89415.9765625,89518.6171875,6265434112,0.0,BTCUSD,4h,518.265625,0.005789473087083928,0.033290009904073874,0,67.57420904687616,0.38989513377926915,4,0,1,0,2,90269.015625,89415.9765625,0,0,,365.9453125,0,1,0.0,0.1980463685971841,1.4479031625915764,1,0,0,0,0,0,0,0
2025-12-29 04:00:00+00:00,90012.6328125,90012.6328125,89903.0703125,89952.8671875,1075292160,0.0,BTCUSD,15m,518.0948660714286,0.005759625927114682,0.032744395061472725,0,68.64219805144594,1.1904486918564583,4,0,1,0,0,90269.015625,89415.9765625,0,0,,349.5703125,0,1,0.0,1.0362786048645773,0.610213414962528,0,0,0,0,0,0,0,-1
2025-12-29 04:15:00+00:00,90025.578125,90117.984375,89919.4453125,89942.3046875,459665408,0.0,BTCUSD,15m,521.4994419642857,0.005798155203785462,0.032550385121325395,0,68.08750700844138,1.1461681327076179,4,0,1,0,0,90269.015625,89415.9765625,0,0,,17.1484375,0,1,0.0,1.0092592295353693,0.6264837720044473,0,0,0,0,0,0,0,-1
2025-12-29 04:30:00+00:00,89995.484375,90269.015625,89995.484375,90162.25,536195072,0.0,BTCUSD,15m,478.94698660714283,0.005312056726702615,0.03262090583411046,0,63.47368086433734,1.682538229318344,4,0,1,0,0,90269.015625,89873.2578125,0,0,,31.359375,0,1,0.0,0.6033907626128283,0.22291741671938883,0,1,0,0,0,0,0,-1
2025-12-29 04:45:00+00:00,90140.0546875,90191.2421875,90086.625,90100.4140625,310994944,0.0,BTCUSD,15m,429.8950892857143,0.004771288720021961,0.03232427326914227,0,62.389380530973455,1.715416860895213,4,0,1,0,0,90269.015625,89873.2578125,0,0,,395.7578125,0,1,0.0,0.5283992668477048,0.3921923434392735,0,1,0,0,0,0,0,-1
2025-12-29 05:00:00+00:00,90070.7578125,90194.328125,89873.2578125,89927.6875,1425721344,0.0,BTCUSD,1h,422.53236607142856,0.00469857924536788,0.029838738640291126,0,62.48141346087743,1.2799554439796823,5,0,1,0,1,90269.015625,89873.2578125,0,0,,169.703125,0,1,0.0,0.12881779449482156,0.8078153353636793,1,0,0,0,0,0,0,-1
2025-12-29 05:00:00+00:00,90070.7578125,90194.328125,90021.5390625,90137.9296875,647401472,0.0,BTCUSD,15m,426.42299107142856,0.004730783062688463,0.02655859219192332,0,63.898307647528,1.7325258867264717,5,0,1,0,0,90194.328125,89873.2578125,0,0,,197.234375,0,1,0.0,0.6206791860236864,0.13225937315971995,0,1,0,0,0,0,0,-1
