time,open,high,low,close,tick_volume,spread,symbol,timeframe
2025-06-17 16:00:00+00:00,145.241,145.378,145.184,145.212,6478,9.0,USDJPY,4h
2025-06-17 17:45:00+00:00,145.183,145.299,145.18,145.243,1586,9.0,USDJPY,15m
2025-06-17 18:00:00+00:00,145.241,145.373,145.184,145.363,3694,9.0,USDJPY,1h
2025-06-17 18:00:00+00:00,145.241,145.276,145.184,145.267,1047,9.0,USDJPY,15m
2025-06-17 18:15:00+00:00,145.268,145.279,145.194,145.265,956,9.0,USDJPY,15m
2025-06-17 18:30:00+00:00,145.263,145.28,145.211,145.235,782,9.0,USDJPY,15m
2025-06-17 18:45:00+00:00,145.235,145.373,145.235,145.363,909,9.0,USDJPY,15m
2025-06-17 19:00:00+00:00,145.365,145.378,145.202,145.212,2784,9.0,USDJPY,1h
2025-06-17 19:00:00+00:00,145.365,145.371,145.285,145.354,778,9.0,USDJPY,15m
2025-06-17 19:15:00+00:00,145.354,145.378,145.293,145.303,560,9.0,USDJPY,15m
2025-06-17 19:30:00+00:00,145.302,145.356,145.249,145.256,643,9.0,USDJPY,15m
2025-06-17 19:45:00+00:00,145.258,145.276,145.202,145.212,803,9.0,USDJPY,15m
2025-06-17 20:00:00+00:00,145.209,145.432,145.114,145.382,5528,16.25,USDJPY,4h
2025-06-17 20:00:00+00:00,145.209,145.315,145.184,145.258,1617,9.0,USDJPY,1h
2025-06-17 20:00:00+00:00,145.209,145.277,145.184,145.276,358,9.0,USDJPY,15m
2025-06-17 20:15:00+00:00,145.276,145.315,145.192,145.206,339,9.0,USDJPY,15m
2025-06-17 20:30:00+00:00,145.206,145.279,145.206,145.258,332,9.0,USDJPY,15m
2025-06-17 20:45:00+00:00,145.256,145.281,145.218,145.258,588,9.0,USDJPY,15m
2025-06-17 21:00:00+00:00,145.234,145.257,145.144,145.235,159,38.0,USDJPY,15m
2025-06-17 21:00:00+00:00,145.234,145.281,145.114,145.169,771,38.0,USDJPY,1h
2025-06-17 21:15:00+00:00,145.243,145.273,145.151,145.271,175,38.0,USDJPY,15m
2025-06-17 21:30:00+00:00,145.271,145.281,145.114,145.223,225,38.0,USDJPY,15m
2025-06-17 21:45:00+00:00,145.229,145.259,145.144,145.169,212,38.0,USDJPY,15m
2025-06-17 22:00:00+00:00,145.191,145.388,145.191,145.381,1190,9.0,USDJPY,1h
2025-06-17 22:00:00+00:00,145.191,145.268,145.191,145.25,300,9.0,USDJPY,15m
2025-06-17 22:15:00+00:00,145.251,145.279,145.246,145.266,181,9.0,USDJPY,15m
2025-06-17 22:30:00+00:00,145.266,145.348,145.246,145.318,330,9.0,USDJPY,15m
2025-06-17 22:45:00+00:00,145.321,145.388,145.3,145.381,379,9.0,USDJPY,15m
2025-06-17 23:00:00+00:00,145.381,145.432,145.316,145.382,1950,9.0,USDJPY,1h
2025-06-17 23:00:00+00:00,145.381,145.381,145.319,145.366,444,9.0,USDJPY,15m
2025-06-17 23:15:00+00:00,145.366,145.419,145.333,145.38,345,9.0,USDJPY,15m
2025-06-17 23:30:00+00:00,145.38,145.432,145.367,145.398,473,9.0,USDJPY,15m
2025-06-17 23:45:00+00:00,145.396,145.406,145.316,145.382,688,9.0,USDJPY,15m
2025-06-18 00:00:00+00:00,145.384,145.44,145.185,145.38,1985,9.0,USDJPY,15m
2025-06-18 00:00:00+00:00,145.384,145.44,145.185,145.314,5851,9.0,USDJPY,1h
2025-06-18 00:00:00+00:00,145.384,145.44,145.037,145.067,13757,9.0,USDJPY,4h
2025-06-18 00:15:00+00:00,145.38,145.426,145.302,145.338,1140,9.0,USDJPY,15m
2025-06-18 00:30:00+00:00,145.336,145.369,145.271,145.291,1073,9.0,USDJPY,15m
2025-06-18 00:45:00+00:00,145.294,145.332,145.216,145.314,1653,9.0,USDJPY,15m
2025-06-18 01:00:00+00:00,145.315,145.338,145.208,145.303,1032,9.0,USDJPY,15m
2025-06-18 01:00:00+00:00,145.315,145.338,145.149,145.161,3376,9.0,USDJPY,1h
2025-06-18 01:15:00+00:00,145.304,145.317,145.205,145.219,781,9.0,USDJPY,15m
2025-06-18 01:30:00+00:00,145.219,145.314,145.203,145.294,671,9.0,USDJPY,15m
2025-06-18 01:45:00+00:00,145.294,145.318,145.149,145.161,892,9.0,USDJPY,15m
2025-06-18 02:00:00+00:00,145.161,145.218,145.148,145.161,706,9.0,USDJPY,15m
2025-06-18 02:00:00+00:00,145.161,145.218,145.102,145.119,2482,9.0,USDJPY,1h
2025-06-18 02:15:00+00:00,145.163,145.173,145.102,145.169,664,9.0,USDJPY,15m
2025-06-18 02:30:00+00:00,145.171,145.214,145.162,145.165,594,9.0,USDJPY,15m
2025-06-18 02:45:00+00:00,145.166,145.173,145.117,145.119,518,9.0,USDJPY,15m
2025-06-18 03:00:00+00:00,145.118,145.133,145.037,145.067,2048,9.0,USDJPY,1h
2025-06-18 03:00:00+00:00,145.118,145.133,145.087,145.118,525,9.0,USDJPY,15m
2025-06-18 03:15:00+00:00,145.118,145.129,145.037,145.069,574,9.0,USDJPY,15m
2025-06-18 03:30:00+00:00,145.067,145.095,145.045,145.075,468,9.0,USDJPY,15m
2025-06-18 03:45:00+00:00,145.075,145.1,145.059,145.067,481,9.0,USDJPY,15m
2025-06-18 04:00:00+00:00,145.067,145.11,144.921,145.014,2072,9.0,USDJPY,1h
2025-06-18 04:00:00+00:00,145.067,145.11,144.851,144.952,12448,9.0,USDJPY,4h
2025-06-18 04:00:00+00:00,145.067,145.11,145.047,145.086,444,9.0,USDJPY,15m
2025-06-18 04:15:00+00:00,145.086,145.098,144.99,144.998,426,9.0,USDJPY,15m
2025-06-18 04:30:00+00:00,144.996,145.007,144.921,144.937,552,9.0,USDJPY,15m
2025-06-18 04:45:00+00:00,144.937,145.017,144.928,145.014,650,9.0,USDJPY,15m
2025-06-18 05:00:00+00:00,145.016,145.055,144.897,145.009,2746,9.0,USDJPY,1h
2025-06-18 05:00:00+00:00,145.016,145.055,144.992,144.995,565,9.0,USDJPY,15m
2025-06-18 05:15:00+00:00,144.995,145.003,144.923,144.952,631,9.0,USDJPY,15m
2025-06-18 05:30:00+00:00,144.952,145.023,144.897,144.922,707,9.0,USDJPY,15m
2025-06-18 05:45:00+00:00,144.923,145.036,144.901,145.009,843,9.0,USDJPY,15m
2025-06-18 06:00:00+00:00,145.011,145.075,144.953,145.006,1167,9.0,USDJPY,15m
2025-06-18 06:00:00+00:00,145.011,145.075,144.859,144.897,4218,9.0,USDJPY,1h
2025-06-18 06:15:00+00:00,145.004,145.068,144.915,144.937,1102,9.0,USDJPY,15m
2025-06-18 06:30:00+00:00,144.938,144.985,144.887,144.947,934,9.0,USDJPY,15m
2025-06-18 06:45:00+00:00,144.947,144.97,144.859,144.897,1015,9.0,USDJPY,15m
2025-06-18 07:00:00+00:00,144.895,144.963,144.851,144.914,1093,9.0,USDJPY,15m
2025-06-18 07:00:00+00:00,144.895,145.05,144.851,144.952,3412,9.0,USDJPY,1h
2025-06-18 07:15:00+00:00,144.916,144.991,144.913,144.975,847,9.0,USDJPY,15m
2025-06-18 07:30:00+00:00,144.978,145.02,144.941,145.01,721,9.0,USDJPY,15m
2025-06-18 07:45:00+00:00,145.008,145.05,144.929,144.952,751,9.0,USDJPY,15m
2025-06-18 08:00:00+00:00,144.951,145.126,144.93,144.962,3302,9.0,USDJPY,1h
2025-06-18 08:00:00+00:00,144.951,145.126,144.797,144.844,11369,9.0,USDJPY,4h
2025-06-18 08:00:00+00:00,144.951,145.048,144.93,145.035,855,9.0,USDJPY,15m
2025-06-18 08:15:00+00:00,145.037,145.115,145.034,145.072,882,9.0,USDJPY,15m
2025-06-18 08:30:00+00:00,145.074,145.126,145.052,145.052,760,9.0,USDJPY,15m
2025-06-18 08:45:00+00:00,145.052,145.064,144.96,144.962,805,9.0,USDJPY,15m
2025-06-18 09:00:00+00:00,144.961,145.023,144.894,144.928,2976,9.0,USDJPY,1h
2025-06-18 09:00:00+00:00,144.961,145.023,144.954,144.983,771,9.0,USDJPY,15m
2025-06-18 09:15:00+00:00,144.981,144.999,144.939,144.955,642,9.0,USDJPY,15m
2025-06-18 09:30:00+00:00,144.954,144.973,144.894,144.931,723,9.0,USDJPY,15m
2025-06-18 09:45:00+00:00,144.931,144.975,144.895,144.928,840,9.0,USDJPY,15m
2025-06-18 10:00:00+00:00,144.928,144.953,144.866,144.921,773,9.0,USDJPY,15m
2025-06-18 10:00:00+00:00,144.928,144.953,144.797,144.821,2686,9.0,USDJPY,1h
2025-06-18 10:15:00+00:00,144.921,144.953,144.862,144.864,670,9.0,USDJPY,15m
2025-06-18 10:30:00+00:00,144.865,144.9,144.797,144.814,690,9.0,USDJPY,15m
2025-06-18 10:45:00+00:00,144.814,144.852,144.803,144.821,553,9.0,USDJPY,15m
2025-06-18 11:00:00+00:00,144.819,144.863,144.808,144.837,562,9.0,USDJPY,15m
2025-06-18 11:00:00+00:00,144.819,144.927,144.808,144.844,2405,9.0,USDJPY,1h
2025-06-18 11:15:00+00:00,144.837,144.885,144.815,144.86,588,9.0,USDJPY,15m
2025-06-18 11:30:00+00:00,144.861,144.92,144.847,144.913,640,9.0,USDJPY,15m
2025-06-18 11:45:00+00:00,144.913,144.927,144.826,144.844,615,9.0,USDJPY,15m
2025-06-18 12:00:00+00:00,144.842,144.961,144.736,144.886,3349,9.0,USDJPY,1h
2025-06-18 12:00:00+00:00,144.842,144.962,144.547,144.579,17570,9.0,USDJPY,4h
2025-06-18 12:00:00+00:00,144.842,144.852,144.788,144.822,686,9.0,USDJPY,15m
2025-06-18 12:15:00+00:00,144.821,144.83,144.764,144.795,673,9.0,USDJPY,15m
2025-06-18 12:30:00+00:00,144.796,144.894,144.736,144.894,956,9.0,USDJPY,15m
2025-06-18 12:45:00+00:00,144.893,144.961,144.812,144.886,1034,9.0,USDJPY,15m
2025-06-18 13:00:00+00:00,144.888,144.918,144.711,144.863,4287,9.0,USDJPY,1h
2025-06-18 13:00:00+00:00,144.888,144.918,144.8,144.817,1036,9.0,USDJPY,15m
2025-06-18 13:15:00+00:00,144.819,144.888,144.783,144.807,960,9.0,USDJPY,15m
2025-06-18 13:30:00+00:00,144.808,144.872,144.771,144.79,1181,9.0,USDJPY,15m
2025-06-18 13:45:00+00:00,144.792,144.882,144.711,144.863,1110,9.0,USDJPY,15m
2025-06-18 14:00:00+00:00,144.863,144.892,144.674,144.77,1867,9.0,USDJPY,15m
2025-06-18 14:00:00+00:00,144.863,144.962,144.674,144.801,6331,9.0,USDJPY,1h
2025-06-18 14:15:00+00:00,144.767,144.962,144.765,144.905,1617,9.0,USDJPY,15m
2025-06-18 14:30:00+00:00,144.906,144.929,144.788,144.797,1311,9.0,USDJPY,15m
2025-06-18 14:45:00+00:00,144.795,144.809,144.699,144.801,1536,9.0,USDJPY,15m
2025-06-18 15:00:00+00:00,144.797,144.812,144.547,144.579,3603,9.0,USDJPY,1h
2025-06-18 15:00:00+00:00,144.797,144.812,144.628,144.654,1069,9.0,USDJPY,15m
2025-06-18 15:15:00+00:00,144.656,144.693,144.586,144.597,907,9.0,USDJPY,15m
2025-06-18 15:30:00+00:00,144.598,144.645,144.547,144.589,867,9.0,USDJPY,15m
2025-06-18 15:45:00+00:00,144.589,144.616,144.566,144.579,760,9.0,USDJPY,15m
2025-06-18 16:00:00+00:00,144.577,144.585,144.523,144.56,693,9.0,USDJPY,15m
2025-06-18 16:00:00+00:00,144.577,145.223,144.326,145.121,27196,9.0,USDJPY,4h
